Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Miscellaneous edible preparations,2018-10-31,2018,Q4,10,31,2018-11-02,Japan,2018-10-31,For import,21039090,Other,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,490
Other/Miscellaneous edible preparations,2018-10-31,2018,Q4,10,31,2018-11-02,Japan,2018-10-31,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,1042
Other/Miscellaneous edible preparations,2018-11-01,2018,Q4,11,1,2018-11-01,Japan,2018-10-31,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,9
Other/Miscellaneous edible preparations,2018-11-05,2018,Q4,11,5,2018-11-09,Japan,2018-11-01,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,476
Other/Miscellaneous edible preparations,2018-11-06,2018,Q4,11,6,2018-11-07,Japan,2018-11-07,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,3
Other/Miscellaneous edible preparations,2018-11-09,2018,Q4,11,9,2018-11-12,Japan,2018-11-14,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,65
Other/Miscellaneous edible preparations,2018-11-09,2018,Q4,11,9,2018-11-26,Japan,2018-11-25,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,99
Other/Miscellaneous edible preparations,2018-11-11,2018,Q4,11,11,2018-11-12,Japan,2018-11-11,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,Heathrow,1,58
Other/Miscellaneous edible preparations,2018-11-15,2018,Q4,11,15,2018-11-15,Japan,2018-11-15,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,2812
Other/Miscellaneous edible preparations,2018-11-15,2018,Q4,11,15,2018-11-15,Japan,2018-11-15,For import,21041000,Soups and broths and preparations therefor,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,45
Other/Miscellaneous edible preparations,2018-11-19,2018,Q4,11,19,2018-11-21,Japan,2018-11-21,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,6
Other/Miscellaneous edible preparations,2018-11-19,2018,Q4,11,19,2018-11-21,Japan,2018-11-21,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,9
Other/Miscellaneous edible preparations,2018-11-21,2018,Q4,11,21,2018-11-26,Japan,2018-11-25,For import,21039090,Other,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,113
