"Commoditygroups","DeclarationDate","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DecisionControlDateMonth","CountryofOrigin","ArrivalatDPE","Forimport","CommodityCode","Descriptionofcommodity","Producttemperature","Commodityintendedfor","Documentarycheck","AcceptableforTransfer","NotAcceptable","IdentityCheck","PhysicalCheck","LaboratoryTests","TestedFor","Results","Acceptableforreleaseforfreecirculation","NotAcceptable2","ReasonforRefusal","DPEName","NoOfConsignments","NetWeightKg"
"Other/Miscellaneous edible preparations","2019-06-27","2019","Q2","6","27","2019-07-04","Japan","2019-06-29","For import","21031000","Soya sauce","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","caesium-134","Satisfactory","Human consumption","-","-","Southampton, P","1","1010"
"Other/Miscellaneous edible preparations","2019-06-27","2019","Q2","6","27","2019-07-04","Japan","2019-06-29","For import","21031000","Soya sauce","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","caesium-137","Satisfactory","Human consumption","-","-","Southampton, P","1","1010"
"Other/Miscellaneous edible preparations","2019-06-27","2019","Q2","6","27","2019-07-04","Japan","2019-06-29","For import","21039010","Mango chutney, liquid","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","-","-","Human consumption","-","-","Southampton, P","1","3"
"Other/Miscellaneous edible preparations","2019-06-27","2019","Q2","6","27","2019-07-04","Japan","2019-06-29","For import","21039090","Other","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","-","-","Human consumption","-","-","Southampton, P","1","64"
"Other/Miscellaneous edible preparations","2019-06-27","2019","Q2","6","27","2019-07-04","Japan","2019-06-29","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","-","-","Human consumption","-","-","Southampton, P","1","36"
"Other/Miscellaneous edible preparations","2019-06-28","2019","Q2","6","28","2019-07-02","Japan","2019-06-30","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Heathrow","1","66"
"Other/Miscellaneous edible preparations","2019-07-01","2019","Q3","7","1","2019-07-08","Japan","2019-07-10","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","15"
"Other/Miscellaneous edible preparations","2019-07-01","2019","Q3","7","1","2019-07-08","Japan","2019-07-10","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","12"
"Other/Miscellaneous edible preparations","2019-07-05","2019","Q3","7","5","2019-07-08","Japan","2019-07-04","For import","21039090","Other","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","2400"
"Other/Miscellaneous edible preparations","2019-07-05","2019","Q3","7","5","2019-07-08","Japan","2019-07-06","For import","21039010","Mango chutney, liquid","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","170"
"Other/Miscellaneous edible preparations","2019-07-08","2019","Q3","7","8","2019-07-29","Japan","2019-08-03","For import","21069098","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","39"
"Other/Miscellaneous edible preparations","2019-07-08","2019","Q3","7","8","2019-07-29","Japan","2019-08-03","For import","21039090","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","1440"
"Other/Miscellaneous edible preparations","2019-07-08","2019","Q3","7","8","2019-07-29","Japan","2019-08-03","For import","21069098","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","245"
"Other/Miscellaneous edible preparations","2019-07-09","2019","Q3","7","9","2019-07-09","Japan","2019-07-11","For import","21031000","Soya sauce","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","2807"
"Other/Miscellaneous edible preparations","2019-07-09","2019","Q3","7","9","2019-07-09","Japan","2019-07-11","For import","21041000","Soups and broths and preparations therefor","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","398"
"Other/Miscellaneous edible preparations","2019-07-09","2019","Q3","7","9","2019-07-12","China","2019-05-24","For import","21039090","Other","Ambient","Human consumption","Not satisfactory","-","Destruction","Not satisfactory","/","no","-","-","-","-","Absence/Invalid certificate (if applicable)"," ","1","66"
