DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2019-01-02,2019,Q1,Jan,2,2019-01,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-01-02,2019,Q1,Jan,2,2019-01,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2019-01-02,2019,Q1,Jan,2,2019-01,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2019-01-02,2019,Q1,Jan,2,2019-01,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2019-01-08,2019,Q1,Jan,8,2019-01,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1315,15123,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2019-01-08,2019,Q1,Jan,8,2019-01,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1315,15123,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2019-01-08,2019,Q1,Jan,8,2019-01,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1315,15123,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2019-01-10,2019,Q1,Jan,10,2019-01,GH,London Gateway,GB,Ghana,GB,GB,15111090,Other than 1511 10 10,426,7777,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-01-16,2019,Q1,Jan,16,2019-01,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2019-01-16,2019,Q1,Jan,16,2019-01,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2019-01-16,2019,Q1,Jan,16,2019-01,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1224,13072,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2019-01-16,2019,Q1,Jan,16,2019-01,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1088,11620,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2019-01-16,2019,Q1,Jan,16,2019-01,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1088,11620,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2019-01-16,2019,Q1,Jan,16,2019-01,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1088,11620,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2019-01-18,2019,Q1,Jan,18,2019-01,GH,"Felixstowe, P",GB,Ghana,GB,GB,15119099,Other,1200,11620,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-01-21,2019,Q1,Jan,21,2019-01,GH,"Tilbury, P",GB,Ghana,GB,GB,15111090,Other than 1511 10 10,28,350,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-31,2018,Q4,Dec,31,2019-01,JP,"Southampton, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",101,485,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-01-07,2019,Q1,Jan,7,2019-01,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",13,246,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-01-08,2019,Q1,Jan,8,2019-01,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",1680,10080,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-01-24,2019,Q1,Jan,24,2019-01,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",1680,10080,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-20,2018,Q4,Dec,20,2019-01,JP,"Felixstowe, P",GB,Japan,GB,GB,21039090,Other,460,9200,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-20,2018,Q4,Dec,20,2019-01,JP,"Felixstowe, P",GB,Japan,GB,GB,21069098,Other,100,130,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-28,2018,Q4,Dec,28,2019-01,JP,"Southampton, P",GB,Japan,GB,GB,21039090,Other,15,90,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-28,2018,Q4,Dec,28,2019-01,JP,"Southampton, P",GB,Japan,GB,GB,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",5,15,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-28,2018,Q4,Dec,28,2019-01,JP,"Southampton, P",GB,Japan,GB,GB,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",50,216,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,1
2018-12-28,2018,Q4,Dec,28,2019-01,JP,"Southampton, P",GB,Japan,GB,GB,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",50,216,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,1
2018-12-31,2018,Q4,Dec,31,2019-01,JP,"Southampton, P",GB,Japan,GB,GB,21031000,Soya sauce,141,1134,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-31,2018,Q4,Dec,31,2019-01,JP,"Southampton, P",GB,Japan,GB,GB,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",7,53,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-01-04,2019,Q1,Jan,4,2019-01,JP,"Southampton, P",GB,Japan,GB,GB,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",4,27,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-01-04,2019,Q1,Jan,4,2019-01,JP,"Southampton, P",GB,Japan,GB,GB,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",182,1406,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2019-01-07,2019,Q1,Jan,7,2019-01,JP,"Felixstowe, P",GB,Japan,GB,GB,21031000,Soya sauce,140,2246,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
