CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-06-05,2020,Q2,6,5,India,2020-05-28,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,5000,5195,No,-,-,2020-06-08,2020,Q2,6,8
"Coffee, tea, mate and spices",2020-06-08,2020,Q2,6,8,India,2020-05-28,9042110,Sweet peppers,Yes,Satisfactory,No,-,No,-,No,-,2000,2044,No,-,-,2020-06-08,2020,Q2,6,8
"Coffee, tea, mate and spices",2020-06-08,2020,Q2,6,8,India,2020-05-28,9042110,Sweet peppers,Yes,Satisfactory,No,-,No,-,No,-,990,1011,No,-,-,2020-06-08,2020,Q2,6,8
"Coffee, tea, mate and spices",2020-06-02,2020,Q2,6,2,India,2020-05-29,9081200,Crushed or ground,No,-,No,-,No,-,No,-,1,8,No,-,-,,2020,Q2,6,
"Coffee, tea, mate and spices",2020-06-03,2020,Q2,6,3,India,2020-05-29,9042110,Sweet peppers,Yes,Satisfactory,No,-,No,-,No,-,2500,2575,No,-,-,2020-06-08,2020,Q2,6,8
"Coffee, tea, mate and spices",2020-06-03,2020,Q2,6,3,India,2020-05-29,904220090,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,5000,5080,No,-,-,2020-06-15,2020,Q2,6,15
"Coffee, tea, mate and spices",2020-06-03,2020,Q2,6,3,India,2020-05-29,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,3048,No,-,-,2020-06-08,2020,Q2,6,8
"Coffee, tea, mate and spices",2020-06-02,2020,Q2,6,2,China,2020-06-07,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,420,494,No,-,-,2020-06-09,2020,Q2,6,9
"Coffee, tea, mate and spices",2020-06-02,2020,Q2,6,2,India,2020-06-02,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,2220,2350,No,-,-,2020-06-04,2020,Q2,6,4
"Coffee, tea, mate and spices",2020-06-02,2020,Q2,6,2,India,2020-06-02,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,2400,2704,No,-,-,2020-06-12,2020,Q2,6,12
"Coffee, tea, mate and spices",2020-06-02,2020,Q2,6,2,India,2020-06-02,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,4487,4806,No,-,-,2020-06-04,2020,Q2,6,4
"Coffee, tea, mate and spices",2020-06-02,2020,Q2,6,2,India,2020-06-02,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,4835,5415,No,-,-,2020-06-04,2020,Q2,6,4
"Coffee, tea, mate and spices",2020-06-02,2020,Q2,6,2,China,2020-06-09,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,20000,20300,No,-,-,2020-06-18,2020,Q2,6,18
"Coffee, tea, mate and spices",2020-06-02,2020,Q2,6,2,China,2020-06-09,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,10000,10150,No,-,-,2020-06-03,2020,Q2,6,3
"Coffee, tea, mate and spices",2020-06-04,2020,Q2,6,4,India,2020-05-30,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,3000,3030,No,-,-,2020-06-10,2020,Q2,6,10
"Coffee, tea, mate and spices",2020-06-03,2020,Q2,6,3,China,2020-06-07,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,300,336,No,-,-,2020-06-08,2020,Q2,6,8
"Coffee, tea, mate and spices",2020-06-03,2020,Q2,6,3,China,2020-05-31,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,207,860,No,-,-,2020-06-05,2020,Q2,6,5
"Coffee, tea, mate and spices",2020-06-03,2020,Q2,6,3,China,2020-05-31,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,594,860,No,-,-,2020-06-05,2020,Q2,6,5
"Coffee, tea, mate and spices",2020-06-04,2020,Q2,6,4,Indonesia,2020-06-04,9081200,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,2500,2633,No,-,-,2020-06-16,2020,Q2,6,16
"Coffee, tea, mate and spices",2020-06-08,2020,Q2,6,8,India,2020-06-05,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,7950,8030,No,-,-,2020-06-09,2020,Q2,6,9
"Coffee, tea, mate and spices",2020-06-09,2020,Q2,6,9,Pakistan,2020-06-05,9109190,Crushed or ground,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,6708,9683,No,-,-,2020-06-19,2020,Q2,6,19
"Coffee, tea, mate and spices",2020-06-12,2020,Q2,6,12,India,2020-06-10,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5000,5040,No,-,-,2020-06-15,2020,Q2,6,15
"Coffee, tea, mate and spices",2020-06-12,2020,Q2,6,12,India,2020-06-05,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5000,5040,No,-,-,2020-06-15,2020,Q2,6,15
"Coffee, tea, mate and spices",2020-06-08,2020,Q2,6,8,China,2020-06-08,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,80,107,No,-,-,2020-06-09,2020,Q2,6,9
"Coffee, tea, mate and spices",2020-06-10,2020,Q2,6,10,China,2020-06-08,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,1452,2701,No,-,-,2020-06-19,2020,Q2,6,19
"Coffee, tea, mate and spices",2020-06-08,2020,Q2,6,8,India,2020-06-08,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,2400,2850,No,-,-,2020-06-10,2020,Q2,6,10
"Coffee, tea, mate and spices",2020-06-08,2020,Q2,6,8,India,2020-06-08,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1800,2475,No,-,-,2020-06-13,2020,Q2,6,13
"Coffee, tea, mate and spices",2020-06-08,2020,Q2,6,8,India,2020-06-08,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,900,1238,No,-,-,2020-06-10,2020,Q2,6,10
"Coffee, tea, mate and spices",2020-06-08,2020,Q2,6,8,India,2020-06-08,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,196,246,No,-,-,2020-06-10,2020,Q2,6,10
"Coffee, tea, mate and spices",2020-06-10,2020,Q2,6,10,China,2020-06-10,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,10000,10500,No,-,-,2020-06-10,2020,Q2,6,10
"Coffee, tea, mate and spices",2020-06-11,2020,Q2,6,11,Ethiopia,2020-06-06,9041200,Crushed or ground,Yes,Satisfactory,Yes,Not satisfactory,No,-,No,-,12000,13500,Yes,-,Label/Document mismatch,,2020,Q2,6,
"Coffee, tea, mate and spices",2020-06-16,2020,Q2,6,16,India,2020-06-20,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,41,54,No,-,-,2020-06-19,2020,Q2,6,19
"Coffee, tea, mate and spices",2020-06-10,2020,Q2,6,10,China,2020-06-24,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,10000,10150,No,-,-,2020-06-24,2020,Q2,6,24
"Coffee, tea, mate and spices",2020-06-10,2020,Q2,6,10,China,2020-06-24,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,20000,20300,No,-,-,2020-06-25,2020,Q2,6,25
"Coffee, tea, mate and spices",2020-06-11,2020,Q2,6,11,China,2020-06-10,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,560,769,No,-,-,2020-06-11,2020,Q2,6,11
"Coffee, tea, mate and spices",2020-06-10,2020,Q2,6,10,China,2020-06-17,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,5500,6050,No,-,-,2020-06-29,2020,Q2,6,29
"Coffee, tea, mate and spices",2020-06-10,2020,Q2,6,10,China,2020-06-10,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,No,-,No,-,No,-,No,-,269,423,No,-,-,,2020,Q2,6,
"Coffee, tea, mate and spices",2020-06-10,2020,Q2,6,10,India,2020-06-02,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,12000,12144,No,-,-,2020-06-19,2020,Q2,6,19
"Coffee, tea, mate and spices",2020-06-10,2020,Q2,6,10,India,2020-06-13,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,22000,22308,No,-,-,2020-06-26,2020,Q2,6,26
"Coffee, tea, mate and spices",2020-06-10,2020,Q2,6,10,India,2020-06-16,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1250,1264,No,-,-,2020-06-25,2020,Q2,6,25
"Coffee, tea, mate and spices",2020-06-10,2020,Q2,6,10,India,2020-06-16,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1240,1257,No,-,-,2020-06-25,2020,Q2,6,25
"Coffee, tea, mate and spices",2020-06-18,2020,Q2,6,18,India,2020-06-19,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,25000,25250,No,-,-,2020-06-18,2020,Q2,6,18
"Coffee, tea, mate and spices",2020-06-18,2020,Q2,6,18,India,2020-06-19,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,25000,25250,No,-,-,2020-06-26,2020,Q2,6,26
"Coffee, tea, mate and spices",2020-06-11,2020,Q2,6,11,India,2020-06-11,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,16500,16751,No,-,-,2020-06-25,2020,Q2,6,25
"Coffee, tea, mate and spices",2020-06-12,2020,Q2,6,12,China,2020-06-10,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,3360,3552,No,-,-,2020-06-22,2020,Q2,6,22
"Coffee, tea, mate and spices",2020-06-12,2020,Q2,6,12,China,2020-06-10,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,13440,14208,No,-,-,2020-06-22,2020,Q2,6,22
"Coffee, tea, mate and spices",2020-06-12,2020,Q2,6,12,India,2020-06-13,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,500,504,No,-,-,2020-06-26,2020,Q2,6,26
"Coffee, tea, mate and spices",2020-06-11,2020,Q2,6,11,China,2020-06-13,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,17280,17482,No,-,-,2020-06-12,2020,Q2,6,12
"Coffee, tea, mate and spices",2020-06-11,2020,Q2,6,11,China,2020-06-13,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,1920,1942,No,-,-,2020-06-12,2020,Q2,6,12
"Coffee, tea, mate and spices",2020-06-11,2020,Q2,6,11,China,2020-06-13,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,Yes,Satisfactory,Yes,Satisfactory,19000,19266,No,-,-,2020-06-29,2020,Q2,6,29
"Coffee, tea, mate and spices",2020-06-11,2020,Q2,6,11,China,2020-06-13,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,Yes,Satisfactory,Yes,Satisfactory,19000,19266,No,-,-,2020-06-29,2020,Q2,6,29
"Coffee, tea, mate and spices",2020-06-11,2020,Q2,6,11,China,2020-06-13,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,Yes,Satisfactory,Yes,Satisfactory,19000,19266,No,-,-,2020-06-29,2020,Q2,6,29
"Coffee, tea, mate and spices",2020-06-11,2020,Q2,6,11,China,2020-06-13,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,Yes,Satisfactory,No,-,No,-,640,654,No,-,-,2020-06-18,2020,Q2,6,18
"Coffee, tea, mate and spices",2020-06-12,2020,Q2,6,12,India,2020-06-13,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1216,1299,No,-,-,2020-06-23,2020,Q2,6,23
"Coffee, tea, mate and spices",2020-06-12,2020,Q2,6,12,India,2020-06-13,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1098,1183,No,-,-,2020-06-15,2020,Q2,6,15
"Coffee, tea, mate and spices",2020-06-12,2020,Q2,6,12,India,2020-06-13,904219080,Other,Yes,Satisfactory,No,-,No,-,No,-,602,744,No,-,-,2020-06-15,2020,Q2,6,15
"Coffee, tea, mate and spices",2020-06-12,2020,Q2,6,12,India,2020-06-13,904219080,Other,Yes,Satisfactory,No,-,No,-,No,-,252,309,No,-,-,2020-06-15,2020,Q2,6,15
"Coffee, tea, mate and spices",2020-06-12,2020,Q2,6,12,India,2020-06-13,904219080,Other,Yes,Satisfactory,No,-,No,-,No,-,371,480,No,-,-,2020-06-15,2020,Q2,6,15
"Coffee, tea, mate and spices",2020-06-11,2020,Q2,6,11,China,2020-06-13,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,15000,15150,No,-,-,2020-06-12,2020,Q2,6,12
"Coffee, tea, mate and spices",2020-06-11,2020,Q2,6,11,China,2020-06-11,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,15000,15150,No,-,-,2020-06-12,2020,Q2,6,12
"Coffee, tea, mate and spices",2020-06-12,2020,Q2,6,12,China,2020-07-09,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,20000,20402,No,-,-,2020-07-15,2020,Q3,7,15
"Coffee, tea, mate and spices",2020-06-12,2020,Q2,6,12,China,2020-07-09,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,100,20402,No,-,-,2020-07-15,2020,Q3,7,15
"Coffee, tea, mate and spices",2020-06-15,2020,Q2,6,15,China,2020-06-18,9022000,Other green tea (not fermented),No,-,No,-,No,-,No,-,2160,2466,No,-,-,,2020,Q2,6,
"Coffee, tea, mate and spices",2020-06-22,2020,Q2,6,22,India,2020-06-15,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,12500,12575,No,-,-,2020-07-01,2020,Q3,7,1
"Coffee, tea, mate and spices",2020-06-16,2020,Q2,6,16,China,2020-06-16,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,10000,10200,No,-,-,2020-06-25,2020,Q2,6,25
"Coffee, tea, mate and spices",2020-06-16,2020,Q2,6,16,India,2020-06-20,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Not satisfactory,Yes,Not Satisfactory,1015,1095,Yes,Destruction,Chemical contamination,2020-07-03,2020,Q3,7,3
"Coffee, tea, mate and spices",2020-06-16,2020,Q2,6,16,India,2020-06-20,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,600,645,No,-,-,2020-06-19,2020,Q2,6,19
"Coffee, tea, mate and spices",2020-06-19,2020,Q2,6,19,India,2020-06-20,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,31,47,No,-,-,2020-06-29,2020,Q2,6,29
"Coffee, tea, mate and spices",2020-06-19,2020,Q2,6,19,India,2020-06-20,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,8,12,No,-,-,2020-06-29,2020,Q2,6,29
"Coffee, tea, mate and spices",2020-06-16,2020,Q2,6,16,India,2020-06-20,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,944,1552,No,-,-,2020-06-26,2020,Q2,6,26
"Coffee, tea, mate and spices",2020-06-17,2020,Q2,6,17,India,2020-06-22,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,20000,20200,No,-,-,2020-07-01,2020,Q3,7,1
"Coffee, tea, mate and spices",2020-06-17,2020,Q2,6,17,India,2020-06-20,9109105,Curry,Yes,Satisfactory,No,-,No,-,No,-,4920,4969,No,-,-,2020-06-25,2020,Q2,6,25
"Coffee, tea, mate and spices",2020-06-17,2020,Q2,6,17,India,2020-06-20,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3980,4020,No,-,-,2020-06-25,2020,Q2,6,25
"Coffee, tea, mate and spices",2020-06-17,2020,Q2,6,17,India,2020-06-20,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1020,1122,No,-,-,2020-06-25,2020,Q2,6,25
"Coffee, tea, mate and spices",2020-06-17,2020,Q2,6,17,China,2020-06-17,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,1679,2020,No,-,-,2020-06-22,2020,Q2,6,22
"Coffee, tea, mate and spices",2020-06-18,2020,Q2,6,18,Indonesia,2020-06-17,9081200,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,7500,7894,No,-,-,2020-06-19,2020,Q2,6,19
"Coffee, tea, mate and spices",2020-06-25,2020,Q2,6,25,India,2020-06-20,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,16000,16179,No,-,-,2020-07-01,2020,Q3,7,1
"Coffee, tea, mate and spices",2020-06-25,2020,Q2,6,25,India,2020-06-20,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,3056,No,-,-,2020-06-25,2020,Q2,6,25
"Coffee, tea, mate and spices",2020-06-25,2020,Q2,6,25,India,2020-06-20,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,3034,No,-,-,2020-06-25,2020,Q2,6,25
"Coffee, tea, mate and spices",2020-06-22,2020,Q2,6,22,India,2020-06-24,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,17925,18104,No,-,-,2020-07-03,2020,Q3,7,3
"Coffee, tea, mate and spices",2020-06-19,2020,Q2,6,19,India,2020-05-15,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,720,846,No,-,-,2020-06-22,2020,Q2,6,22
"Coffee, tea, mate and spices",2020-06-21,2020,Q2,6,21,China,2020-06-21,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,24200,24508,No,-,-,2020-06-23,2020,Q2,6,23
