Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Miscellaneous edible preparations,2019-09-03,2019,Q3,9,3,2019-09-06,Japan,2019-09-07,For import,21039090,Other,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,700
Other/Miscellaneous edible preparations,2019-09-03,2019,Q3,9,3,2019-09-11,Japan,2019-09-07,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,"Southampton, P",1,27
Other/Miscellaneous edible preparations,2019-09-03,2019,Q3,9,3,2019-09-11,Japan,2019-09-07,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,"Southampton, P",1,27
Other/Miscellaneous edible preparations,2019-09-04,2019,Q3,9,4,2019-09-06,Japan,2019-09-07,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,25
Other/Miscellaneous edible preparations,2019-09-05,2019,Q3,9,5,2019-09-09,Japan,2019-09-14,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,232
Other/Miscellaneous edible preparations,2019-09-05,2019,Q3,9,5,2019-09-13,Japan,2019-09-16,For import,21069098,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,171
Other/Miscellaneous edible preparations,2019-09-05,2019,Q3,9,5,2019-09-20,Japan,2019-09-16,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Radionuclides,Satisfactory,Human consumption,-,-,"Southampton, P",1,1440
Other/Miscellaneous edible preparations,2019-09-05,2019,Q3,9,5,2019-09-30,Japan,2019-09-29,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,248
Other/Miscellaneous edible preparations,2019-09-06,2019,Q3,9,6,2019-09-09,Japan,2019-09-08,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,Heathrow,1,66
Other/Miscellaneous edible preparations,2019-09-06,2019,Q3,9,6,2019-09-10,Japan,2019-09-07,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,544
