DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-10-02,2018,Q4,Oct,2,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,21031000,Soya sauce,195,8256,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-02,2018,Q4,Oct,2,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",28,464,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-02,2018,Q4,Oct,2,2018-10,JP,Heathrow,GB,Japan,GB,GB,21031000,Soya sauce,2,22,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,1
2018-10-02,2018,Q4,Oct,2,2018-10,JP,Heathrow,GB,Japan,GB,GB,21031000,Soya sauce,2,22,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,1
2018-10-04,2018,Q4,Oct,4,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,21039090,Other,96,1440,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-07,2018,Q4,Oct,7,2018-10,JP,Heathrow,GB,Japan,GB,GB,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",11,79,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-07,2018,Q4,Oct,7,2018-10,JP,Heathrow,GB,Japan,GB,GB,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",3,3,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-09,2018,Q4,Oct,9,2018-10,JP,"Southampton, P",GB,Japan,GB,GB,21039090,Other,420,7300,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,1
2018-10-09,2018,Q4,Oct,9,2018-10,JP,"Southampton, P",GB,Japan,GB,GB,21039090,Other,420,7300,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,1
2018-10-12,2018,Q4,Oct,12,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",5,15,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-16,2018,Q4,Oct,16,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,21031000,Soya sauce,10,40,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-18,2018,Q4,Oct,18,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,21031000,Soya sauce,126,2520,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-18,2018,Q4,Oct,18,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",9,149,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-18,2018,Q4,Oct,18,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,21031000,Soya sauce,138,14520,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-18,2018,Q4,Oct,18,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",5,83,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-19,2018,Q4,Oct,19,2018-10,JP,"Southampton, P",GB,Japan,GB,GB,21031000,Soya sauce,12,48,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-19,2018,Q4,Oct,19,2018-10,JP,"Southampton, P",GB,Japan,GB,GB,21039090,Other,1,4,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-19,2018,Q4,Oct,19,2018-10,JP,"Southampton, P",GB,Japan,GB,GB,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",3,24,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-19,2018,Q4,Oct,19,2018-10,JP,Heathrow,GB,Japan,GB,GB,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",2,54,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-22,2018,Q4,Oct,22,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,21031000,Soya sauce,141,2184,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-22,2018,Q4,Oct,22,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,21041000,Soups and broths and preparations therefor,7,49,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-24,2018,Q4,Oct,24,2018-10,JP,"Southampton, P",GB,Japan,GB,GB,21031000,Soya sauce,100,496,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-25,2018,Q4,Oct,25,2018-10,JP,Heathrow,GB,Japan,GB,GB,21039090,Other,2,960,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-25,2018,Q4,Oct,25,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,21041000,Soups and broths and preparations therefor,10,100,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-26,2018,Q4,Oct,26,2018-10,JP,Heathrow,GB,Japan,GB,GB,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",8,58,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-09-21,2018,Q3,Sept,21,2018-10,CN,"Felixstowe, P",GB,China,GB,GB,19023010,Dried,9100,13650,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-09-24,2018,Q3,Sept,24,2018-10,CN,"Felixstowe, P",GB,China,GB,GB,19023090,Other,1340,13235,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-09-24,2018,Q3,Sept,24,2018-10,CN,"Felixstowe, P",NL,China,NL,GB,19023090,Other,9000,16200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-09-25,2018,Q3,Sept,25,2018-10,HK,"Felixstowe, P",GB,China,GB,GB,19023010,Dried,554,6648,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-09-26,2018,Q3,Sept,26,2018-10,CN,"Felixstowe, P",GB,China,GB,GB,19023010,Dried,250,4500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-09-26,2018,Q3,Sept,26,2018-10,CN,"Felixstowe, P",GB,China,GB,GB,19023010,Dried,200,3600,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-09-26,2018,Q3,Sept,26,2018-10,CN,"Felixstowe, P",GB,China,GB,GB,19023010,Dried,120,2160,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-09-26,2018,Q3,Sept,26,2018-10,CN,"Felixstowe, P",GB,China,GB,GB,19023010,Dried,260,4680,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-10-03,2018,Q4,Oct,3,2018-10,CN,"Felixstowe, P",NL,China,NL,GB,19023090,Other,9000,16200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-10-04,2018,Q4,Oct,4,2018-10,CN,"Felixstowe, P",GB,China,GB,GB,19059055,"Extruded or expanded products, savoury or salted",878,4390,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-10-05,2018,Q4,Oct,5,2018-10,CN,London Gateway,GB,China,GB,GB,190230,Other pasta,1118,13416,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-07-18,2018,Q3,Jul,18,2018-10,LB,"Felixstowe, P",GB,Lebanon,GB,GB,2001909711,Not containing added sugar,25,250,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,.OTHERS,Not satisfactory,-,Destruction,Chemical contamination,1
2018-09-14,2018,Q3,Sept,14,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,2008999960,Figs,831,1662,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-09-17,2018,Q3,Sept,17,2018-10,IN,"Felixstowe, P",GB,India,GB,GB,20081110,Peanut butter,2000,16344,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B1,Satisfactory,Human consumption,-,-,1
2018-09-17,2018,Q3,Sept,17,2018-10,IN,"Felixstowe, P",GB,India,GB,GB,20081110,Peanut butter,2000,16344,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B2,Satisfactory,Human consumption,-,-,1
2018-09-17,2018,Q3,Sept,17,2018-10,IN,"Felixstowe, P",GB,India,GB,GB,20081110,Peanut butter,2000,16344,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin G1,Satisfactory,Human consumption,-,-,1
2018-09-17,2018,Q3,Sept,17,2018-10,IN,"Felixstowe, P",GB,India,GB,GB,20081110,Peanut butter,2000,16344,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin G2,Satisfactory,Human consumption,-,-,1
2018-09-17,2018,Q3,Sept,17,2018-10,IN,"Felixstowe, P",GB,India,GB,GB,20081110,Peanut butter,2000,16344,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-09-20,2018,Q3,Sept,20,2018-10,IN,"Felixstowe, P",GB,India,GB,GB,20081198,In immediate packings of a net content not exceeding 1|kg,250,1200,Human consumption,Satisfactory,-,-,Satisfactory,Not satisfactory,yes,Aflatoxins,Not satisfactory,-,Destruction,Chemical contamination,1
2018-09-28,2018,Q3,Sept,28,2018-10,JP,"Southampton, P",GB,Japan,GB,GB,20059100,Bamboo shoots,100,1800,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-01,2018,Q4,Oct,1,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,200799,"Other than 2007 10, 2007 91.",994,14910,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-10-02,2018,Q4,Oct,2,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081999,Other,176,264,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-02,2018,Q4,Oct,2,2018-10,CN,"Felixstowe, P",GB,China,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,1200,18000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-10-02,2018,Q4,Oct,2,2018-10,IN,"Felixstowe, P",GB,India,GB,GB,20081110,Peanut butter,2000,16344,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-10-02,2018,Q4,Oct,2,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,2008191320,Pistachios,700,7000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-10-03,2018,Q4,Oct,3,2018-10,JP,"Felixstowe, P",GB,Japan,GB,GB,20089759,Other,6,90,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-03,2018,Q4,Oct,3,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,80,2000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-03,2018,Q4,Oct,3,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,352,4400,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-03,2018,Q4,Oct,3,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,240,6000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-04,2018,Q4,Oct,4,2018-10,IN,"Felixstowe, P",GB,India,GB,GB,20081919,Other,150,600,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-10-04,2018,Q4,Oct,4,2018-10,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,840,21000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
