"Commoditygroups","DeclarationDate","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DecisionControlDateMonth","CountryofOrigin","ArrivalatDPE","Forimport","CommodityCode","Descriptionofcommodity","Producttemperature","Commodityintendedfor","Documentarycheck","AcceptableforTransfer","NotAcceptable","IdentityCheck","PhysicalCheck","LaboratoryTests","TestedFor","Results","Acceptableforreleaseforfreecirculation","NotAcceptable2","ReasonforRefusal","DPEName","NoOfConsignments","NetWeightKg"
"Other/Miscellaneous edible preparations","2019-06-10","2019","Q2","6","10","2019-08-19","Japan","2019-06-11","For import","21039090","Other","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","35"
"Other/Miscellaneous edible preparations","2019-07-19","2019","Q3","7","19","2019-08-12","Japan","2019-08-04","For import","21031000","Soya sauce","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","caesium-134","Satisfactory","Human consumption","-","-","Southampton, P","1","298"
"Other/Miscellaneous edible preparations","2019-07-19","2019","Q3","7","19","2019-08-12","Japan","2019-08-04","For import","21031000","Soya sauce","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","caesium-137","Satisfactory","Human consumption","-","-","Southampton, P","1","298"
"Other/Miscellaneous edible preparations","2019-07-19","2019","Q3","7","19","2019-08-13","Japan","2019-08-14","For import","21039090","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","8000"
"Other/Miscellaneous edible preparations","2019-07-19","2019","Q3","7","19","2019-08-13","Japan","2019-08-14","For import","21069098","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","162"
"Other/Miscellaneous edible preparations","2019-07-26","2019","Q3","7","26","2019-08-01","Japan","2019-07-28","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","caesium-134","Satisfactory","Human consumption","-","-","Heathrow","1","66"
"Other/Miscellaneous edible preparations","2019-07-26","2019","Q3","7","26","2019-08-01","Japan","2019-07-28","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","caesium-137","Satisfactory","Human consumption","-","-","Heathrow","1","66"
"Other/Miscellaneous edible preparations","2019-07-30","2019","Q3","7","30","2019-08-05","Japan","2019-08-08","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","130"
"Other/Miscellaneous edible preparations","2019-07-30","2019","Q3","7","30","2019-08-05","Japan","2019-08-08","For import","210610","Protein concentrates and textured protein substances","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","9"
"Other/Miscellaneous edible preparations","2019-08-01","2019","Q3","8","1","2019-08-06","Japan","2019-08-06","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","8"
"Other/Miscellaneous edible preparations","2019-08-06","2019","Q3","8","6","2019-08-07","Japan","2019-08-08","For import","21031000","Soya sauce","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","2013"
"Other/Miscellaneous edible preparations","2019-08-06","2019","Q3","8","6","2019-08-07","Japan","2019-08-08","For import","21041000","Soups and broths and preparations therefor","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","354"
"Other/Miscellaneous edible preparations","2019-08-06","2019","Q3","8","6","2019-08-07","Japan","2019-08-08","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","0"
"Other/Miscellaneous edible preparations","2019-08-07","2019","Q3","8","7","2019-08-21","Japan","2019-08-22","For import","21039090","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","1440"
"Other/Miscellaneous edible preparations","2019-08-09","2019","Q3","8","9","2019-08-12","Japan","2019-08-11","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Heathrow","1","66"
"Other/Miscellaneous edible preparations","2019-08-14","2019","Q3","8","14","2019-08-16","Japan","2019-08-16","For import","21041000","Soups and broths and preparations therefor","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Heathrow","1","120"
"Other/Miscellaneous edible preparations","2019-08-14","2019","Q3","8","14","2019-08-17","Japan","2019-08-18","For import","21031000","Soya sauce","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","985"
"Other/Miscellaneous edible preparations","2019-08-14","2019","Q3","8","14","2019-08-17","Japan","2019-08-18","For import","21039090","Other","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","45"
"Other/Miscellaneous edible preparations","2019-08-14","2019","Q3","8","14","2019-08-19","Japan","2019-08-22","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","14098"
"Other/Miscellaneous edible preparations","2019-08-14","2019","Q3","8","14","2019-08-28","Japan","2019-08-18","For import","21039010","Mango chutney, liquid","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","caesium-134","Satisfactory","Human consumption","-","-","Southampton, P","1","633"
"Other/Miscellaneous edible preparations","2019-08-14","2019","Q3","8","14","2019-08-28","Japan","2019-08-18","For import","21039010","Mango chutney, liquid","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","caesium-137","Satisfactory","Human consumption","-","-","Southampton, P","1","633"
"Other/Miscellaneous edible preparations","2019-08-19","2019","Q3","8","19","2019-08-22","Japan","2019-08-24","For import","21031000","Soya sauce","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","374"
"Other/Miscellaneous edible preparations","2019-08-20","2019","Q3","8","20","2019-08-31","Japan","2019-09-01","For import","21031000","Soya sauce","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","322"
"Other/Miscellaneous edible preparations","2019-08-21","2019","Q3","8","21","2019-08-28","Japan","2019-08-29","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","14112"
"Other/Miscellaneous edible preparations","2019-08-22","2019","Q3","8","22","2019-08-23","Japan","2019-08-24","For import","21031000","Soya sauce","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","599"
"Other/Miscellaneous edible preparations","2019-08-22","2019","Q3","8","22","2019-08-23","Japan","2019-08-24","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","45"
"Other/Miscellaneous edible preparations","2019-08-23","2019","Q3","8","23","2019-08-28","Japan","2019-08-26","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Heathrow","1","66"
"Other/Miscellaneous edible preparations","2019-08-28","2019","Q3","8","28","2019-08-29","Japan","2019-08-29","For import","21031000","Soya sauce","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Heathrow","1","270"
"Other/Preparations of cereals, flour, starch or milk","2019-07-19","2019","Q3","7","19","2019-08-14","China","2019-07-31","For import","19023010","Dried","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","GM rice","Satisfactory","Human consumption","-","-","Felixstowe, P","1","13650"
"Other/Preparations of cereals, flour, starch or milk","2019-08-01","2019","Q3","8","1","2019-08-15","China","2019-08-04","For import","19023090","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","GM rice","Satisfactory","Human consumption","-","-","Southampton, P","1","4140"
"Other/Preparations of cereals, flour, starch or milk","2019-08-01","2019","Q3","8","1","2019-08-15","China","2019-08-04","For import","19023090","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","GM rice","Satisfactory","Human consumption","-","-","Southampton, P","1","4680"
"Other/Preparations of cereals, flour, starch or milk","2019-08-01","2019","Q3","8","1","2019-08-15","China","2019-08-04","For import","19023090","Other","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","GM rice","Satisfactory","Human consumption","-","-","Southampton, P","1","1080"
"Other/Preparations of cereals, flour, starch or milk","2019-08-08","2019","Q3","8","8","2019-08-22","China","2019-08-08","For import","19023090","Other","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","GM rice","Satisfactory","Human consumption","-","-","Felixstowe, P","1","13576"
"Other/Preparations of cereals, flour, starch or milk","2019-08-08","2019","Q3","8","8","2019-08-28","China","2019-07-31","For import","19023010","Dried","Ambient","Human consumption","Not satisfactory","-","Re-dispatching","/","/","no","-","-","-","-","-"," ","1","203"
"Other/Preparations of cereals, flour, starch or milk","2019-08-14","2019","Q3","8","14","2019-08-28","China","2019-08-11","For import","19049010","Obtained from rice","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","GM rice","Satisfactory","Human consumption","-","-","Felixstowe, P","1","13187"
"Other/Preparations of vegetables, fruit, nuts","2019-06-10","2019","Q2","6","10","2019-08-19","Japan","2019-06-11","For import","20059100","Bamboo shoots","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","5"
"Other/Preparations of vegetables, fruit, nuts","2019-07-19","2019","Q3","7","19","2019-08-01","Turkey","2019-07-18","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Aflatoxins","Satisfactory","Human consumption","-","-","Felixstowe, P","1","7000"
"Other/Preparations of vegetables, fruit, nuts","2019-07-24","2019","Q3","7","24","2019-08-01","Turkey","2019-07-25","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Aflatoxins","Satisfactory","Human consumption","-","-","Felixstowe, P","1","20000"
"Other/Preparations of vegetables, fruit, nuts","2019-07-25","2019","Q3","7","25","2019-08-01","Turkey","2019-07-18","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Aflatoxins","Satisfactory","Human consumption","-","-","Felixstowe, P","1","21000"
"Other/Preparations of vegetables, fruit, nuts","2019-07-26","2019","Q3","7","26","2019-08-01","Turkey","2019-08-04","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","10000"
"Other/Preparations of vegetables, fruit, nuts","2019-07-29","2019","Q3","7","29","2019-08-02","Japan","2019-08-04","For import","20039090","Other","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","115"
"Other/Preparations of vegetables, fruit, nuts","2019-07-29","2019","Q3","7","29","2019-08-13","United States","2019-07-30","For import","20081198","In immediate packings of a net content not exceeding 1|kg","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Aflatoxins","Satisfactory","Human consumption","-","-","Felixstowe, P","1","917"
"Other/Preparations of vegetables, fruit, nuts","2019-07-29","2019","Q3","7","29","2019-08-13","China","2019-07-27","For import","20081191","In immediate packings of a net content exceeding 1|kg","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","Aflatoxins","Satisfactory","Human consumption","-","-","Felixstowe, P","1","600"
"Other/Preparations of vegetables, fruit, nuts","2019-07-30","2019","Q3","7","30","2019-08-01","Turkey","2019-08-04","For import","2008191930","Hazelnuts","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","12000"
"Other/Preparations of vegetables, fruit, nuts","2019-07-30","2019","Q3","7","30","2019-08-05","Japan","2019-08-08","For import","20049098","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","306"
"Other/Preparations of vegetables, fruit, nuts","2019-07-30","2019","Q3","7","30","2019-08-05","Japan","2019-08-08","For import","20049098","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","205"
"Other/Preparations of vegetables, fruit, nuts","2019-07-30","2019","Q3","7","30","2019-08-13","Lebanon","2019-08-01","For import","2001909711","Not containing added sugar","Ambient","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes",".DYES","Satisfactory","Human consumption","-","-","Felixstowe, P","1","1070"
