CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-05-12,2020,Q2,5,12,China,2020-05-16,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,20000,20300,No,-,-,2020-05-13,2020,Q2,5,13
"Coffee, tea, mate and spices",2020-05-12,2020,Q2,5,12,China,2020-05-16,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,16000,16300,No,-,-,2020-05-13,2020,Q2,5,13
"Coffee, tea, mate and spices",2020-05-12,2020,Q2,5,12,China,2020-05-16,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,7600,7735,No,-,-,2020-05-13,2020,Q2,5,13
"Coffee, tea, mate and spices",2020-05-12,2020,Q2,5,12,China,2020-05-16,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,650,660,No,-,-,2020-05-13,2020,Q2,5,13
"Coffee, tea, mate and spices",2020-05-13,2020,Q2,5,13,India,2020-05-12,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,7845,8211,No,-,-,2020-05-13,2020,Q2,5,13
"Coffee, tea, mate and spices",2020-05-13,2020,Q2,5,13,India,2020-05-12,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,6600,6908,No,-,-,2020-05-13,2020,Q2,5,13
"Coffee, tea, mate and spices",2020-05-13,2020,Q2,5,13,India,2020-05-12,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,5986,6585,No,-,-,2020-05-22,2020,Q2,5,22
"Coffee, tea, mate and spices",2020-05-13,2020,Q2,5,13,India,2020-05-12,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,7996,8596,No,-,-,2020-05-13,2020,Q2,5,13
"Coffee, tea, mate and spices",2020-05-13,2020,Q2,5,13,India,2020-05-12,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5970,6318,No,-,-,2020-05-13,2020,Q2,5,13
"Coffee, tea, mate and spices",2020-05-13,2020,Q2,5,13,China,2020-05-14,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,512,651,No,-,-,2020-05-23,2020,Q2,5,23
"Coffee, tea, mate and spices",2020-05-15,2020,Q2,5,15,China,2020-05-15,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,120,369,No,-,-,2020-05-19,2020,Q2,5,19
"Coffee, tea, mate and spices",2020-05-15,2020,Q2,5,15,China,2020-05-15,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,24200,24508,No,-,-,2020-05-15,2020,Q2,5,15
"Coffee, tea, mate and spices",2020-05-15,2020,Q2,5,15,China,2020-05-17,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,147,162,No,-,-,2020-05-20,2020,Q2,5,20
"Coffee, tea, mate and spices",2020-05-18,2020,Q2,5,18,India,2020-05-20,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,125,175,No,-,-,2020-05-18,2020,Q2,5,18
"Coffee, tea, mate and spices",2020-05-18,2020,Q2,5,18,China,2020-05-15,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,54,54,No,-,-,2020-05-18,2020,Q2,5,18
"Coffee, tea, mate and spices",2020-05-18,2020,Q2,5,18,India,2020-05-20,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,Yes,Satisfactory,Yes,Not satisfactory,Yes,Not Satisfactory,1000,1020,Yes,Destruction,Chemical contamination,2020-06-12,2020,Q2,6,12
"Coffee, tea, mate and spices",2020-05-16,2020,Q2,5,16,India,2020-05-12,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,21000,21235,No,-,-,2020-05-29,2020,Q2,5,29
"Coffee, tea, mate and spices",2020-05-20,2020,Q2,5,20,China,2020-05-22,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,16800,16800,No,-,-,2020-05-20,2020,Q2,5,20
"Coffee, tea, mate and spices",2020-05-19,2020,Q2,5,19,India,2020-05-27,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,20000,20200,No,-,-,2020-05-26,2020,Q2,5,26
"Coffee, tea, mate and spices",2020-05-19,2020,Q2,5,19,India,2020-05-23,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,61,99,No,-,-,2020-05-22,2020,Q2,5,22
"Coffee, tea, mate and spices",2020-05-19,2020,Q2,5,19,India,2020-05-23,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,122,167,No,-,-,2020-05-22,2020,Q2,5,22
"Coffee, tea, mate and spices",2020-05-19,2020,Q2,5,19,India,2020-05-23,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,360,492,No,-,-,2020-05-22,2020,Q2,5,22
