DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-01-19,2018,Q1,1,19,2018-02,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1315,15973,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan I (CAS number 842-07-9),Satisfactory,Human consumption,-,-,1
2018-01-19,2018,Q1,1,19,2018-02,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1315,15973,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan II (CAS number 3118-97-6),Satisfactory,Human consumption,-,-,1
2018-01-19,2018,Q1,1,19,2018-02,GH,London Gateway,GB,Ghana,GB,GB,15119011,In immediate packings of a net content not exceeding 1|kg,1315,15973,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Sudan III (CAS number 85-86-9),Satisfactory,Human consumption,-,-,1
2018-02-09,2018,Q1,2,9,2018-02,GH,"Tilbury, P",GB,Ghana,GB,GB,15111090,Other than 1511 10 10,1000,23000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-02-12,2018,Q1,2,12,2018-02,TR,"Felixstowe, P",GB,Turkey,GB,GB,15159099,"Solid, other; fluid",540,9828,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-02-12,2018,Q1,2,12,2018-02,TR,"Felixstowe, P",GB,Turkey,GB,GB,15159099,"Solid, other; fluid",250,4550,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-02-05,2018,Q1,2,5,2018-02,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",5,120,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-02-15,2018,Q1,2,15,2018-02,JP,"Felixstowe, P",GB,Japan,GB,GB,22029911,"Soya-based beverages with a protein content of 2,8 % or more by weight",12,129.6,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-02-12,2018,Q1,2,12,2018-02,CN,"Felixstowe, P",GB,China,GB,GB,10063092,Round grain,975,19890,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,1
2018-01-09,2018,Q1,1,9,2018-02,IN,London Gateway,GB,India,GB,GB,904219080,Other,100,500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.MYCOTOXINS,Satisfactory,Human consumption,-,-,1
2018-01-10,2018,Q1,1,10,2018-02,IN,London Gateway,GB,India,GB,GB,904219080,Other,100,500,Human consumption,Satisfactory,-,-,Not satisfactory,/,no,-,-,-,Destruction,ID: Mis-match with documents,1
2018-01-10,2018,Q1,1,10,2018-02,IN,London Gateway,GB,India,GB,GB,904220090,Other,50,350,Human consumption,Satisfactory,-,-,Not satisfactory,/,no,-,-,-,Destruction,ID: Mis-match with documents,1
2018-01-17,2018,Q1,1,17,2018-02,IN,Belfast City Council (CED),GB,India,GB,GB,904220090,Other,50,250,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-17,2018,Q1,1,17,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,180,4500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-19,2018,Q1,1,19,2018-02,VN,"Felixstowe, P",NL,Indonesia,NL,GB,9081200,Crushed or ground,300,7500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-19,2018,Q1,1,19,2018-02,IN,Heathrow,GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),10,150,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B1,Satisfactory,Human consumption,-,-,1
2018-01-19,2018,Q1,1,19,2018-02,IN,Heathrow,GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),10,150,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-19,2018,Q1,1,19,2018-02,ID,London Gateway,GB,Indonesia,GB,GB,9081200,Crushed or ground,480,12000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-23,2018,Q1,1,23,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220019,Other,250,5000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-23,2018,Q1,1,23,2018-02,CN,"Felixstowe, P",GB,China,GB,GB,9022000,Other green tea (not fermented),200,9000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.RESIDUES OF PESTICIDES,Satisfactory,Human consumption,-,-,1
2018-01-23,2018,Q1,1,23,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220019,Other,950,19000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-23,2018,Q1,1,23,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,560,14000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B1,Satisfactory,Human consumption,-,-,1
2018-01-23,2018,Q1,1,23,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,560,14000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B2,Satisfactory,Human consumption,-,-,1
2018-01-23,2018,Q1,1,23,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,560,14000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin G1,Satisfactory,Human consumption,-,-,1
2018-01-23,2018,Q1,1,23,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,560,14000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin G2,Satisfactory,Human consumption,-,-,1
2018-01-23,2018,Q1,1,23,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,560,14000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-25,2018,Q1,1,25,2018-02,CN,"Felixstowe, P",GB,China,GB,GB,9022000,Other green tea (not fermented),64,1600,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,.RESIDUES OF PESTICIDES,Satisfactory,Human consumption,-,-,1
2018-01-29,2018,Q1,1,29,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),240,6000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-01-29,2018,Q1,1,29,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),760,19000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-29,2018,Q1,1,29,2018-02,ET,Heathrow,GB,Ethiopia,GB,GB,9041200,Crushed or ground,32,800,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B1,Satisfactory,Human consumption,-,-,1
2018-01-29,2018,Q1,1,29,2018-02,ET,Heathrow,GB,Ethiopia,GB,GB,9041200,Crushed or ground,32,800,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-29,2018,Q1,1,29,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),1110,22200,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-30,2018,Q1,1,30,2018-02,CN,"Felixstowe, P",GB,China,GB,GB,9022000,Other green tea (not fermented),341,7279,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-01-30,2018,Q1,1,30,2018-02,CN,"Felixstowe, P",GB,China,GB,GB,9024000,Other black tea (fermented) and other partly fermented tea,13,299,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-01-30,2018,Q1,1,30,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220019,Other,4950,20790,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-30,2018,Q1,1,30,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,250,5000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-01-31,2018,Q1,1,31,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,1000,2500,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-01-31,2018,Q1,1,31,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,713,3209,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-01-31,2018,Q1,1,31,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,100,1200,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-01-31,2018,Q1,1,31,2018-02,HK,"Felixstowe, P",GB,China,GB,GB,9022000,Other green tea (not fermented),13,210,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-01-31,2018,Q1,1,31,2018-02,HK,"Felixstowe, P",GB,China,GB,GB,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",1,15,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-01-31,2018,Q1,1,31,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,600,900,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-02-01,2018,Q1,2,1,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220090,Other,1,4,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-02-01,2018,Q1,2,1,2018-02,CN,"Felixstowe, P",GB,China,GB,GB,9022000,Other green tea (not fermented),192,9600,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-02-01,2018,Q1,2,1,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),175,4375,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-02-01,2018,Q1,2,1,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),135,3375,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-02-01,2018,Q1,2,1,2018-02,IN,"Felixstowe, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),90,1800,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-02-01,2018,Q1,2,1,2018-02,CN,"Southampton, P",GB,China,GB,GB,9024000,Other black tea (fermented) and other partly fermented tea,400,20000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Bifenthrin,Satisfactory,Human consumption,-,-,1
2018-02-01,2018,Q1,2,1,2018-02,IN,"Southampton, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),1170,11640,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B1,Satisfactory,Human consumption,-,-,1
2018-02-01,2018,Q1,2,1,2018-02,IN,"Southampton, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),1170,11640,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B2,Satisfactory,Human consumption,-,-,1
2018-02-01,2018,Q1,2,1,2018-02,IN,"Southampton, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),1170,11640,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin G1,Satisfactory,Human consumption,-,-,1
2018-02-01,2018,Q1,2,1,2018-02,IN,"Southampton, P",GB,India,GB,GB,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),1170,11640,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin G2,Satisfactory,Human consumption,-,-,1
