CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-11-16,2020,Q4,11,16,India,2020-11-02,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,3272,3599,No,-,-,2020-11-16,2020,Q4,11,16
"Coffee, tea, mate and spices",2020-11-09,2020,Q4,11,9,India,2020-10-27,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5000,5050,No,-,-,2020-11-09,2020,Q4,11,9
"Coffee, tea, mate and spices",2020-11-09,2020,Q4,11,9,India,2020-10-27,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,3030,No,-,-,2020-11-09,2020,Q4,11,9
"Coffee, tea, mate and spices",2020-11-09,2020,Q4,11,9,India,2020-10-27,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,500,510,No,-,-,2020-11-09,2020,Q4,11,9
"Coffee, tea, mate and spices",2020-11-06,2020,Q4,11,6,India,2020-11-03,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,480,528,No,-,-,2020-11-06,2020,Q4,11,6
"Coffee, tea, mate and spices",2020-11-06,2020,Q4,11,6,India,2020-11-03,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,175,235,No,-,-,2020-11-06,2020,Q4,11,6
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,India,2020-11-03,904220019,Other,No,-,No,-,No,-,No,-,2500,2528,No,-,-,,2020,Q4,11,3
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,India,2020-11-03,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,8500,8595,No,-,-,2020-11-04,2020,Q4,11,4
"Coffee, tea, mate and spices",2020-11-02,2020,Q4,11,2,India,2020-11-02,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,140,188,No,-,-,2020-11-02,2020,Q4,11,2
"Coffee, tea, mate and spices",2020-11-02,2020,Q4,11,2,India,2020-11-02,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,350,470,No,-,-,2020-11-02,2020,Q4,11,2
"Coffee, tea, mate and spices",2020-11-02,2020,Q4,11,2,India,2020-11-02,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,105,141,No,-,-,2020-11-02,2020,Q4,11,2
"Coffee, tea, mate and spices",2020-11-05,2020,Q4,11,5,India,2020-11-12,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,8000,9000,No,-,-,2020-11-06,2020,Q4,11,6
"Coffee, tea, mate and spices",2020-11-05,2020,Q4,11,5,India,2020-11-12,904220019,Other,No,-,No,-,No,-,No,-,6000,6750,No,-,-,,2020,Q4,11,5
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,Pakistan,2020-11-03,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,3959,5791,No,-,-,2020-11-04,2020,Q4,11,4
"Coffee, tea, mate and spices",2020-11-16,2020,Q4,11,16,China,2020-11-02,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,445,490,No,-,-,2020-11-16,2020,Q4,11,16
"Coffee, tea, mate and spices",2020-11-11,2020,Q4,11,11,Sri Lanka,2020-10-29,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,200,210,No,-,-,2020-11-11,2020,Q4,11,11
"Coffee, tea, mate and spices",2020-11-02,2020,Q4,11,2,India,2020-10-30,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,84,113,No,-,-,2020-11-02,2020,Q4,11,2
"Coffee, tea, mate and spices",2020-11-02,2020,Q4,11,2,India,2020-10-30,9109190,Crushed or ground,Yes,Satisfactory,No,-,No,-,No,-,360,444,No,-,-,2020-11-02,2020,Q4,11,2
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,India,2020-10-30,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,2400,2520,No,-,-,2020-11-03,2020,Q4,11,3
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,India,2020-10-30,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1200,1430,No,-,-,2020-11-03,2020,Q4,11,3
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,India,2020-10-30,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1200,1430,No,-,-,2020-11-03,2020,Q4,11,3
"Coffee, tea, mate and spices",2020-11-17,2020,Q4,11,17,India,2020-11-12,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,12000,12216,No,-,-,2020-11-27,2020,Q4,11,27
"Coffee, tea, mate and spices",2020-11-13,2020,Q4,11,13,China,2020-10-31,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-11-13,2020,Q4,11,13
"Coffee, tea, mate and spices",2020-11-17,2020,Q4,11,17,China,2020-11-02,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1800,1845,No,-,-,2020-11-17,2020,Q4,11,17
"Coffee, tea, mate and spices",2020-11-02,2020,Q4,11,2,China,2020-11-02,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,1280,1312,No,-,-,2020-11-07,2020,Q4,11,7
"Coffee, tea, mate and spices",2020-11-02,2020,Q4,11,2,India,2020-11-05,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,512,592,No,-,-,2020-11-11,2020,Q4,11,11
"Coffee, tea, mate and spices",2020-11-02,2020,Q4,11,2,India,2020-11-08,9109105,Curry,Yes,Satisfactory,No,-,No,-,No,-,5000,5050,No,-,-,2020-11-11,2020,Q4,11,11
"Coffee, tea, mate and spices",2020-11-02,2020,Q4,11,2,India,2020-11-04,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,2000,2088,No,-,-,2020-11-03,2020,Q4,11,3
"Coffee, tea, mate and spices",2020-11-02,2020,Q4,11,2,India,2020-11-04,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,3132,No,-,-,2020-11-03,2020,Q4,11,3
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,China,2020-11-10,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1293,2023,No,-,-,2020-12-06,2020,Q4,12,6
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,China,2020-11-04,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,533,744,No,-,-,2020-11-03,2020,Q4,11,3
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,China,2020-11-04,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,143,744,No,-,-,2020-11-03,2020,Q4,11,3
"Coffee, tea, mate and spices",2020-11-16,2020,Q4,11,16,India,2020-10-29,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,3500,3563,No,-,-,2020-11-16,2020,Q4,11,16
"Coffee, tea, mate and spices",2020-11-23,2020,Q4,11,23,India,2020-10-29,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,3000,3043,No,-,-,2020-11-23,2020,Q4,11,23
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,India,2020-11-07,904220019,Other,No,-,No,-,No,-,No,-,17880,17992,No,-,-,,2020,Q4,11,3
"Coffee, tea, mate and spices",2020-11-16,2020,Q4,11,16,India,2020-11-29,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,1680,1704,No,-,-,2020-11-16,2020,Q4,11,16
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,China,2020-11-10,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,698,1483,No,-,-,2020-11-10,2020,Q4,11,10
"Coffee, tea, mate and spices",2020-11-17,2020,Q4,11,17,China,2020-11-09,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,645,711,No,-,-,2020-11-17,2020,Q4,11,17
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,China,2020-11-10,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,330,732,No,-,-,2020-11-10,2020,Q4,11,10
"Coffee, tea, mate and spices",2020-11-17,2020,Q4,11,17,Ethiopia,2020-11-08,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,2750,2772,No,-,-,2020-11-17,2020,Q4,11,17
"Coffee, tea, mate and spices",2020-11-16,2020,Q4,11,16,India,2020-11-03,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,10000,10100,No,-,-,2020-11-16,2020,Q4,11,16
"Coffee, tea, mate and spices",2020-11-03,2020,Q4,11,3,India,2020-11-10,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,8000,8080,No,-,-,2020-11-25,2020,Q4,11,25
"Coffee, tea, mate and spices",2020-11-04,2020,Q4,11,4,India,2020-11-05,904220019,Other,Yes,Satisfactory,No,-,Yes,Satisfactory,Yes,Satisfactory,4000,4069,No,-,-,2020-11-19,2020,Q4,11,19
