Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Miscellaneous edible preparations,2019-09-19,2019,Q3,9,19,2019-10-01,Japan,2019-09-28,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,12
Other/Miscellaneous edible preparations,2019-09-19,2019,Q3,9,19,2019-10-01,Japan,2019-09-28,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,1
Other/Miscellaneous edible preparations,2019-09-24,2019,Q3,9,24,2019-10-01,Japan,2019-09-28,For import,21039090,Other,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,1100
Other/Miscellaneous edible preparations,2019-09-24,2019,Q3,9,24,2019-10-01,Japan,2019-09-28,For import,21039090,Other,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,150
Other/Miscellaneous edible preparations,2019-09-24,2019,Q3,9,24,2019-10-04,Japan,2019-10-05,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,4
Other/Miscellaneous edible preparations,2019-09-24,2019,Q3,9,24,2019-10-04,Japan,2019-09-28,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,"Southampton, P",1,500
Other/Miscellaneous edible preparations,2019-09-24,2019,Q3,9,24,2019-10-04,Japan,2019-09-28,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,"Southampton, P",1,500
Other/Miscellaneous edible preparations,2019-09-27,2019,Q3,9,27,2019-10-02,Japan,2019-10-03,For import,21039090,Other,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,3700
Other/Miscellaneous edible preparations,2019-09-27,2019,Q3,9,27,2019-10-10,Japan,2019-10-03,For import,21041000,Soups and broths and preparations therefor,Chilled,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,"Southampton, P",1,480
Other/Miscellaneous edible preparations,2019-09-27,2019,Q3,9,27,2019-10-10,Japan,2019-10-03,For import,21041000,Soups and broths and preparations therefor,Chilled,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,"Southampton, P",1,480
Other/Miscellaneous edible preparations,2019-10-01,2019,Q4,10,1,2019-10-05,Japan,2019-10-05,For import,21039090,Other,Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,144
Other/Miscellaneous edible preparations,2019-10-01,2019,Q4,10,1,2019-10-05,Japan,2019-10-05,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Frozen,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,130
Other/Miscellaneous edible preparations,2019-10-03,2019,Q4,10,3,2019-10-17,Japan,2019-10-20,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,273
Other/Miscellaneous edible preparations,2019-10-04,2019,Q4,10,4,2019-10-07,Japan,2019-10-06,For import,21061020,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,Heathrow,1,45
Other/Miscellaneous edible preparations,2019-10-04,2019,Q4,10,4,2019-10-11,Japan,2019-10-05,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-134,Satisfactory,Human consumption,-,-,"Southampton, P",1,340
Other/Miscellaneous edible preparations,2019-10-04,2019,Q4,10,4,2019-10-11,Japan,2019-10-05,For import,21031000,Soya sauce,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,caesium-137,Satisfactory,Human consumption,-,-,"Southampton, P",1,340
