CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-09-01,2020,Q3,9,1,China,2020-09-01,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,10920,11544,No,-,-,2020-09-04,2020,Q3,9,36
"Coffee, tea, mate and spices",2020-09-01,2020,Q3,9,1,China,2020-09-01,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,2198,4510,No,-,-,2020-09-05,2020,Q3,9,36
"Coffee, tea, mate and spices",2020-09-01,2020,Q3,9,1,China,2020-09-01,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,5880,6216,No,-,-,2020-09-08,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-10,2020,Q3,9,10,India,2020-09-02,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1875,2063,No,-,-,2020-09-10,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-02,2020,Q3,9,2,China,2020-09-05,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,7000,7525,No,-,-,2020-09-02,2020,Q3,9,36
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,Indonesia,2020-09-02,9081200,Crushed or ground,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,11250,11836,No,-,Emergency measures,2020-10-06,2020,Q4,10,41
"Coffee, tea, mate and spices",2020-09-10,2020,Q3,9,10,China,2020-08-26,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,10,12,No,-,-,2020-09-11,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-02,2020,Q3,9,2,China,2020-09-05,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,5,10,No,-,-,2020-09-09,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-03,2020,Q3,9,3,China,2020-09-03,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,24200,24508,No,-,-,2020-09-04,2020,Q3,9,36
"Coffee, tea, mate and spices",2020-09-03,2020,Q3,9,3,China,2020-09-03,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,24200,24508,No,-,-,2020-09-04,2020,Q3,9,36
"Coffee, tea, mate and spices",2020-09-03,2020,Q3,9,3,China,2020-09-03,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,24200,24508,No,-,-,2020-09-04,2020,Q3,9,36
"Coffee, tea, mate and spices",2020-09-10,2020,Q3,9,10,India,2020-09-03,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,3525,3760,No,-,-,2020-09-10,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,China,2020-09-06,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,291,647,No,-,-,2020-09-08,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,China,2020-09-06,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,297,647,No,-,-,2020-09-08,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-09,2020,Q3,9,9,India,2020-09-06,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,4000,4072,No,-,Emergency measures,2020-09-21,2020,Q3,9,39
"Coffee, tea, mate and spices",2020-09-09,2020,Q3,9,9,India,2020-09-06,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,4000,4058,No,-,-,2020-09-09,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-09,2020,Q3,9,9,India,2020-09-06,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,2000,2029,No,-,-,2020-09-09,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,India,2020-09-04,9042110,Sweet peppers,No,-,No,-,No,-,No,-,2000,2100,No,-,-,,2020,Q3,9,
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,India,2020-09-04,9042110,Sweet peppers,Yes,Satisfactory,No,-,No,-,No,-,510,536,No,-,-,2020-09-15,2020,Q3,9,38
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,India,2020-09-04,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,4000,4080,No,-,-,2020-09-15,2020,Q3,9,38
"Coffee, tea, mate and spices",2020-09-08,2020,Q3,9,8,India,2020-08-04,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),No,-,No,-,No,-,No,-,5000,5100,No,-,-,,2020,Q3,9,
"Coffee, tea, mate and spices",2020-09-04,2020,Q3,9,4,China,2020-09-08,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,22000,22284,No,-,-,2020-09-08,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-07,2020,Q3,9,7,China,2020-08-05,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,1100,1230,No,-,-,2020-09-08,2020,Q3,9,37
"Coffee, tea, mate and spices",2020-09-07,2020,Q3,9,7,China,2020-08-05,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1840,2044,No,-,Temporary increase of controls,2020-09-21,2020,Q3,9,39
"Coffee, tea, mate and spices",2020-09-04,2020,Q3,9,4,China,2020-09-14,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,20000,20300,No,-,-,2020-09-11,2020,Q3,9,37
