"Commoditygroups","DeclarationDate","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DecisionControlDateMonth","CountryofOrigin","ArrivalatDPE","Forimport","CommodityCode","Descriptionofcommodity","Producttemperature","Commodityintendedfor","Documentarycheck","AcceptableforTransfer","NotAcceptable","IdentityCheck","PhysicalCheck","LaboratoryTests","TestedFor","Results","Acceptableforreleaseforfreecirculation","NotAcceptable2","ReasonforRefusal","DPEName","NoOfConsignments","NetWeightKg"
"Other/Miscellaneous edible preparations","03/05/2019","2019","Q2","5","3","09/05/2019","Japan","11/05/2019","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","13954"
"Other/Miscellaneous edible preparations","03/05/2019","2019","Q2","5","3","09/05/2019","Japan","11/05/2019","For import","21039010","Mango chutney, liquid","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","243"
"Other/Miscellaneous edible preparations","03/05/2019","2019","Q2","5","3","09/05/2019","Japan","11/05/2019","For import","21031000","Soya sauce","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","24"
"Other/Miscellaneous edible preparations","03/05/2019","2019","Q2","5","3","15/05/2019","Japan","11/05/2019","For import","21031000","Soya sauce","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","-","-","Human consumption","-","-","Southampton, P","1","189"
"Other/Miscellaneous edible preparations","03/05/2019","2019","Q2","5","3","15/05/2019","Japan","11/05/2019","For import","21039090","Other","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","-","-","Human consumption","-","-","Southampton, P","1","45"
"Other/Miscellaneous edible preparations","03/05/2019","2019","Q2","5","3","15/05/2019","Japan","11/05/2019","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","caesium-134","Satisfactory","Human consumption","-","-","Southampton, P","1","71"
"Other/Miscellaneous edible preparations","03/05/2019","2019","Q2","5","3","15/05/2019","Japan","11/05/2019","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","Satisfactory","Satisfactory","yes","caesium-137","Satisfactory","Human consumption","-","-","Southampton, P","1","71"
"Other/Miscellaneous edible preparations","07/05/2019","2019","Q2","5","7","08/05/2019","Japan","08/05/2019","For import","21031000","Soya sauce","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","340"
"Other/Miscellaneous edible preparations","08/05/2019","2019","Q2","5","8","08/05/2019","Japan","12/05/2019","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Felixstowe, P","1","596"
"Other/Miscellaneous edible preparations","09/05/2019","2019","Q2","5","9","09/05/2019","Japan","08/05/2019","For import","21061080","Other","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Heathrow","1","18"
"Other/Miscellaneous edible preparations","13/05/2019","2019","Q2","5","13","15/05/2019","Japan","12/05/2019","For import","21069092","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Ambient","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","4"
"Other/Miscellaneous edible preparations","13/05/2019","2019","Q2","5","13","15/05/2019","Japan","11/05/2019","For import","21039090","Other","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","1056"
"Other/Miscellaneous edible preparations","17/05/2019","2019","Q2","5","17","20/05/2019","Japan","19/05/2019","For import","21061020","Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch","Chilled","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Heathrow","1","66"
"Other/Miscellaneous edible preparations","20/05/2019","2019","Q2","5","20","24/05/2019","Japan","23/05/2019","For import","21039090","Other","Frozen","Human consumption","Satisfactory","-","-","/","/","no","-","-","Human consumption","-","-","Southampton, P","1","2300"
