DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfree circulation ,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-05-09,2018,Q2,May,9,2018-05,HK,London Gateway,GB,China,GB,GB,20081196,"In immediate packings of a net content not exceeding 1|kg, Roasted",168,1512,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-05-09,2018,Q2,May,9,2018-05,TR,"Tilbury, P",GB,Turkey,GB,GB,20081919,Other,22,16500,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-05-10,2018,Q2,May,10,2018-05,TR,"Felixstowe, P",GB,Turkey,GB,GB,20071099,Other,1600,24000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-10,2018,Q2,May,10,2018-05,TR,"Felixstowe, P",GB,Turkey,GB,GB,20085098,Of less than 5|kg,2500,8000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-10,2018,Q2,May,10,2018-05,TR,"Felixstowe, P",GB,Turkey,GB,GB,20079997,Other,1400,21000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-10,2018,Q2,May,10,2018-05,TR,"Felixstowe, P",GB,Turkey,GB,GB,20079997,Other,1400,21000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-10,2018,Q2,May,10,2018-05,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,200,5000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-10,2018,Q2,May,10,2018-05,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,200,5000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-10,2018,Q2,May,10,2018-05,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,400,10000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-10,2018,Q2,May,10,2018-05,AR,London Gateway,GB,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,1000,20000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-11,2018,Q2,May,11,2018-05,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,140,3500,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-11,2018,Q2,May,11,2018-05,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,210,5250,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-11,2018,Q2,May,11,2018-05,TR,"Felixstowe, P",GB,Turkey,GB,GB,200819,"Other than 2008 11, including mixtures",960,12000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-05-11,2018,Q2,May,11,2018-05,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,350,8750,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-05-14,2018,Q2,May,14,2018-05,IN,"Felixstowe, P",GB,India,GB,GB,20081196,"In immediate packings of a net content not exceeding 1|kg, Roasted",200,2000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-14,2018,Q2,May,14,2018-05,JP,"Southampton, P",GB,Japan,GB,GB,20059100,Bamboo shoots,110,1980,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-05-15,2018,Q2,May,15,2018-05,JP,"Felixstowe, P",GB,Japan,GB,GB,20059100,Bamboo shoots,35,630,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
