CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-10-09,2020,Q4,10,9,India,2020-10-12,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,10000,10172,No,-,-,2020-10-17,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-19,2020,Q4,10,19,China,2020-09-30,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,2,3,No,-,-,2020-10-19,2020,Q4,10,43
"Coffee, tea, mate and spices",2020-10-01,2020,Q4,10,1,India,2020-10-04,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,19740,19937,No,-,-,2020-10-26,2020,Q4,10,44
"Coffee, tea, mate and spices",2020-10-01,2020,Q4,10,1,India,2020-10-04,904219080,Other,Yes,Satisfactory,No,-,No,-,No,-,1200,1760,No,-,-,2020-10-02,2020,Q4,10,40
"Coffee, tea, mate and spices",2020-10-01,2020,Q4,10,1,India,2020-10-04,904219080,Other,Yes,Satisfactory,No,-,No,-,No,-,1560,1911,No,-,-,2020-10-02,2020,Q4,10,40
"Coffee, tea, mate and spices",2020-10-01,2020,Q4,10,1,India,2020-10-04,904219080,Other,Yes,Satisfactory,No,-,No,-,No,-,400,660,No,-,-,2020-10-02,2020,Q4,10,40
"Coffee, tea, mate and spices",2020-10-01,2020,Q4,10,1,Sri Lanka,2020-10-01,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,3,13,No,-,-,2020-10-14,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-01,2020,Q4,10,1,Sri Lanka,2020-10-01,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,2,9,No,-,-,2020-10-14,2020,Q4,10,42
"Coffee, tea, mate and spices",2020-10-01,2020,Q4,10,1,India,2020-10-03,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,2000,2020,No,-,-,2020-10-02,2020,Q4,10,40
"Coffee, tea, mate and spices",2020-10-01,2020,Q4,10,1,China,2020-09-30,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,24200,24508,No,-,-,2020-10-01,2020,Q4,10,40
"Coffee, tea, mate and spices",2020-10-01,2020,Q4,10,1,China,2020-09-30,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,10040,10660,No,-,-,2020-10-02,2020,Q4,10,40
"Coffee, tea, mate and spices",2020-10-01,2020,Q4,10,1,China,2020-09-30,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,3960,4230,No,-,-,2020-10-02,2020,Q4,10,40
"Coffee, tea, mate and spices",2020-10-02,2020,Q4,10,2,China,2020-10-05,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,996,1299,No,-,-,2020-10-03,2020,Q4,10,40
"Coffee, tea, mate and spices",2020-10-02,2020,Q4,10,2,India,2020-10-02,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,13000,13130,No,-,-,2020-10-03,2020,Q4,10,40
"Coffee, tea, mate and spices",2020-10-02,2020,Q4,10,2,India,2020-10-02,904220090,Other,No,-,No,-,No,-,No,-,6,8,No,-,-,,2020,Q4,10,
"Coffee, tea, mate and spices",2020-10-02,2020,Q4,10,2,India,2020-10-02,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,5000,5040,No,-,-,2020-10-15,2020,Q4,10,42
