Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Miscellaneous edible preparations,2019-12-10,2019,Q4,12,10,2019-12-13,Japan,2019-11-27,For import,21042000,Homogenised composite food preparations,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,14
Other/Miscellaneous edible preparations,2019-12-17,2019,Q4,12,17,2019-12-20,Japan,2019-12-22,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,4
"Other/Preparations of cereals, flour, starch or milk",2019-11-14,2019,Q4,11,14,2019-12-03,China,2019-11-17,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,1080
"Other/Preparations of cereals, flour, starch or milk",2019-11-14,2019,Q4,11,14,2019-12-03,China,2019-11-17,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,2880
"Other/Preparations of cereals, flour, starch or milk",2019-11-14,2019,Q4,11,14,2019-12-09,China,2019-11-17,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Not satisfactory,-,Re-dispatching,Chemical contamination,"Southampton, P",1,7020
"Other/Preparations of cereals, flour, starch or milk",2019-11-22,2019,Q4,11,22,2019-12-06,China,2019-11-27,For import,19059055,"Extruded or expanded products, savoury or salted",Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,4390
"Other/Preparations of cereals, flour, starch or milk",2019-11-27,2019,Q4,11,27,2019-12-17,China,2019-12-04,For import,19023010,Dried,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,13650
"Other/Preparations of cereals, flour, starch or milk",2019-11-27,2019,Q4,11,27,2019-12-18,China,2019-12-09,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,18605
"Other/Preparations of cereals, flour, starch or milk",2019-12-03,2019,Q4,12,3,2019-12-16,China,2019-12-04,For import,19022099,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,1831
"Other/Preparations of cereals, flour, starch or milk",2019-12-03,2019,Q4,12,3,2019-12-16,China,2019-12-04,For import,19022099,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,1860
