DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_KG,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation ,NotAcceptable2,ReasonForRefusal,NoOfConsignments
2017-11-21,2017,Q4,Nov,21,2017-12,TR,"Felixstowe, P",TR,Turkey,GB,GB,8042090,Dried,720,9000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-22,2017,Q4,Nov,22,2017-12,CN,"Felixstowe, P",CN,China,GB,GB,19023010,Dried,200,3600,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-11-22,2017,Q4,Nov,22,2017-12,CN,"Felixstowe, P",CN,China,GB,GB,19023010,Dried,280,5040,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-11-22,2017,Q4,Nov,22,2017-12,CN,"Felixstowe, P",CN,China,GB,GB,19023010,Dried,100,1800,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-11-22,2017,Q4,Nov,22,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,904220090,Other,720,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-22,2017,Q4,Nov,22,2017-12,US,Heathrow,US,China,GB,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,175,43.75,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,1
2017-11-22,2017,Q4,Nov,22,2017-12,TR,"Felixstowe, P",TR,Turkey,GB,GB,8131000,Apricots,1280,16000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,sulphur dioxide (SO2),satisfactory,Human consumption,-,-,1
2017-11-22,2017,Q4,Nov,22,2017-12,CN,"Felixstowe, P",CN,China,GB,GB,12024100,In shell,40,13000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-23,2017,Q4,Nov,23,2017-12,TR,"Felixstowe, P",TR,Turkey,GB,GB,20081913,Roasted almonds and pistachios,700,7000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-23,2017,Q4,Nov,23,2017-12,TR,"Felixstowe, P",TR,Turkey,GB,GB,8062030,Sultanas,1750,21875,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
2017-11-23,2017,Q4,Nov,23,2017-12,IN,"Felixstowe, P",IN,India,GB,GB,904220019,Other,720,18000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-23,2017,Q4,Nov,23,2017-12,AR,London Gateway,AR,Argentina,GB,GB,12024200,"Shelled, whether or not broken",20,25100,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
2017-11-23,2017,Q4,Nov,23,2017-12,TR,"Felixstowe, P",TR,Turkey,GB,GB,8042090,Dried,1260,6048,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,1
